-0.4375 0 0.0625
-0.375 0 0.125
-0.416667 1.53033e-18 0.0833333
-0.395833 3.06067e-18 0.104167
-0.5 0 0
-0.4375 0 0.0625
-0.458333 0 0.0416667
-0.479167 0 0.0208333
-0.5 0 0
-0.4375 0 0.0625
-0.479167 0 0.0208333
-0.458333 0 0.0416667
0 0 0.5
-0.0625 0 0.4375
-0.0208333 0 0.479167
-0.0416667 0 0.458333
-0.3125 0 0.1875
-0.375 0 0.125
-0.333333 0 0.166667
-0.354167 0 0.145833
-0.4375 0 0.0625
-0.375 0 0.125
-0.395833 3.06067e-18 0.104167
-0.416667 1.53033e-18 0.0833333
-0.375 0 0.125
-0.3125 0 0.1875
-0.354167 0 0.145833
-0.333333 0 0.166667
-0.25 0 0.25
-0.3125 0 0.1875
-0.270833 -2.13447e-18 0.229167
-0.291667 -4.26895e-18 0.208333
-0.0625 0 0.4375
-0.125 0 0.375
-0.0833333 -2.32477e-18 0.416667
-0.104167 -4.64954e-18 0.395833
-0.125 0 0.375
-0.0625 0 0.4375
-0.104167 -4.64954e-18 0.395833
-0.0833333 -2.32477e-18 0.416667
-0.25 0 0.25
-0.1875 0 0.3125
-0.208333 0 0.291667
-0.229167 0 0.270833
-0.1875 0 0.3125
-0.125 0 0.375
-0.145833 0 0.354167
-0.166667 0 0.333333
-0.3125 0 0.1875
-0.25 0 0.25
-0.291667 -4.26895e-18 0.208333
-0.270833 -2.13447e-18 0.229167
-0.25 0 0.25
-0.1875 0 0.3125
-0.229167 0 0.270833
-0.208333 0 0.291667
-0.1875 0 0.3125
-0.125 0 0.375
-0.166667 0 0.333333
-0.145833 0 0.354167
-0.0625 0 0.4375
0 0 0.5
-0.0416667 0 0.458333
-0.0208333 0 0.479167
0 0 0.5
0.0625 0 0.5625
0.0208333 2.5722e-18 0.520833
0.0416667 5.1444e-18 0.541667
0.0625 0 0.5625
0 0 0.5
0.0416667 5.1444e-18 0.541667
0.0208333 2.5722e-18 0.520833
0.125 0 0.625
0.0625 0 0.5625
0.0833333 0 0.583333
0.104167 0 0.604167
0.125 0 0.625
0.1875 0 0.6875
0.166667 0 0.666667
0.145833 0 0.645833
0.0625 0 0.5625
0.125 0 0.625
0.104167 0 0.604167
0.0833333 0 0.583333
0.375 0 0.875
0.4375 0 0.9375
0.416667 0 0.916667
0.395833 0 0.895833
0.25 0 0.75
0.1875 0 0.6875
0.208333 0 0.708333
0.229167 0 0.729167
0.125 0 0.625
0.1875 0 0.6875
0.145833 0 0.645833
0.166667 0 0.666667
0.3125 0 0.8125
0.25 0 0.75
0.291667 0 0.791667
0.270833 0 0.770833
0.5 0 1
0.4375 0 0.9375
0.479167 0 0.979167
0.458333 0 0.958333
0.25 0 0.75
0.3125 0 0.8125
0.270833 0 0.770833
0.291667 0 0.791667
0.3125 0 0.8125
0.375 0 0.875
0.333333 0 0.833333
0.354167 0 0.854167
0.25 0 0.75
0.1875 0 0.6875
0.229167 0 0.729167
0.208333 0 0.708333
0.375 0 0.875
0.3125 0 0.8125
0.354167 0 0.854167
0.333333 0 0.833333
0.375 0 0.875
0.4375 0 0.9375
0.395833 0 0.895833
0.416667 0 0.916667
0.4375 0 0.9375
0.5 0 1
0.458333 0 0.958333
0.479167 0 0.979167
