-0.85264 -0.522499 3.69137
-0.809017 -0.587785 3.76991
-0.838671 -0.544639 3.71755
-0.824126 -0.566406 3.74373
-0.891007 -0.45399 3.61283
-0.951057 -0.309017 3.45575
-0.93358 -0.358368 3.50811
-0.913545 -0.406737 3.56047
-0.891007 -0.45399 3.61283
-0.85264 -0.522499 3.69137
-0.878817 -0.477159 3.63901
-0.866025 -0.5 3.66519
-0.987688 -0.156434 3.29867
-0.951057 -0.309017 3.45575
-0.978148 -0.207912 3.35103
-0.965926 -0.258819 3.40339
-0.156434 -0.987688 4.55531
-0.309017 -0.951057 4.39823
-0.258819 -0.965926 4.45059
-0.207912 -0.978148 4.50295
-0.587785 -0.809017 4.08407
-0.707107 -0.707107 3.92699
-0.669131 -0.743145 3.97935
-0.62932 -0.777146 4.03171
-0.156434 -0.987688 4.55531
-1.83697e-16 -1 4.71239
-0.104528 -0.994522 4.60767
-0.052336 -0.99863 4.66003
-1 -7.65714e-16 3.14159
-0.987688 -0.156434 3.29867
-0.99863 -0.052336 3.19395
-0.994522 -0.104528 3.24631
-0.809017 -0.587785 3.76991
-0.707107 -0.707107 3.92699
-0.777146 -0.62932 3.82227
-0.743145 -0.669131 3.87463
-0.309017 -0.951057 4.39823
-0.45399 -0.891007 4.24115
-0.406737 -0.913545 4.29351
-0.358368 -0.93358 4.34587
-0.587785 -0.809017 4.08407
-0.45399 -0.891007 4.24115
-0.544639 -0.838671 4.13643
-0.5 -0.866025 4.18879
