-1 1.22465e-16 7 1 
-0.998795 0.0490677 7 1 
0.375 0 18 4 
0.34375 0 18 4 
-0.995185 0.0980171 20 1 
0.5 0 23 4 
0.46875 0 23 4 
-0.989177 0.14673 28 1 
-0.995185 0.0980171 34 1 
-0.998795 0.0490677 34 1 
-1 1.22465e-16 36 2 
-0.998795 -0.0490677 36 2 
-1 1.22465e-16 37 2 
-0.998795 -0.0490677 38 2 
-0.995185 -0.0980171 38 2 
-0.995185 -0.0980171 41 2 
-0.989177 -0.14673 42 2 
-0.980785 -0.19509 42 2 
-0.998795 -0.0490677 44 2 
-0.998795 0.0490677 53 1 
-0.989177 0.14673 57 1 
-0.995185 0.0980171 57 1 
-0.989177 0.14673 70 1 
-0.980785 -0.19509 199 2 
-0.4375 0 240 4 
-0.40625 0 240 4 
-0.989177 0.14673 276 1 
-0.980785 0.19509 276 1 
-0.989177 -0.14673 278 2 
-0.5 0 294 4 
-0.46875 0 294 4 
-0.40625 0 295 4 
-0.375 0 295 4 
-0.3125 0 299 4 
-0.995185 -0.0980171 309 2 
-0.989177 -0.14673 309 2 
-0.5 0 319 4 
-0.375 0 324 4 
-0.34375 0 324 4 
-0.5 0 325 4 
-0.46875 0 326 4 
-0.4375 0 326 4 
-0.34375 0 329 4 
-0.40625 0 333 4 
-0.375 0 333 4 
-0.5 0 336 4 
-0.46875 0 337 4 
-0.4375 0 337 4 
-0.40625 0 343 4 
-0.40625 0 345 4 
-0.4375 0 350 4 
-0.40625 0 350 4 
-0.34375 0 353 4 
-0.375 0 353 4 
-0.28125 0 357 4 
-0.3125 0 357 4 
-0.3125 0 359 4 
-0.34375 0 359 4 
-0.34375 0 360 4 
-0.34375 0 361 4 
-0.3125 0 361 4 
-0.3125 0 363 4 
-0.28125 0 363 4 
-0.375 0 367 4 
-0.3125 0 372 4 
-0.941544 0.33689 449 1 
-0.95694 0.290285 456 1 
-0.980785 -0.19509 462 2 
-0.92388 -0.382683 476 2 
-0.941544 -0.33689 476 2 
-0.92388 -0.382683 480 2 
-0.903989 -0.427555 480 2 
