-0.85264 -0.522499 0 2 
-0.809017 -0.587785 0 2 
-0.891007 0.45399 1 1 
-0.891007 -0.45399 4 2 
-0.951057 -0.309017 4 2 
-0.891007 -0.45399 5 2 
-0.85264 -0.522499 5 2 
-0.987688 -0.156434 7 2 
-0.951057 -0.309017 7 2 
-0.987688 -0.156434 12 2 
-0.156434 -0.987688 13 2 
-0.309017 -0.951057 13 2 
-0.309017 -0.951057 14 2 
-0.707107 0.707107 15 1 
-0.809017 0.587785 15 1 
-0.587785 -0.809017 18 2 
-0.707107 -0.707107 18 2 
-0.987688 0.156434 19 1 
-0.987688 0.156434 20 1 
-0.951057 0.309017 20 1 
-0.951057 0.309017 21 1 
-0.891007 0.45399 21 1 
-0.156434 -0.987688 22 2 
-1.83697e-16 -1 22 2 
-0.309017 -0.951057 23 2 
-1 -7.65714e-16 24 2 
-0.707107 -0.707107 25 2 
-0.707107 0.707107 28 1 
-0.587785 0.809017 28 1 
-0.951057 0.309017 29 1 
0.25 0 32 4 
-0.5 0 35 4 
-0.951057 -0.309017 39 2 
0.45399 -0.891007 40 3 
-1 -7.65714e-16 41 2 
-0.987688 -0.156434 41 2 
0.522499 -0.85264 43 3 
0.587785 -0.809017 43 3 
-0.987688 0.156434 44 1 
-1 -7.65714e-16 44 1 
0.707107 -0.707107 45 3 
0.809017 -0.587785 45 3 
0.951057 -0.309017 48 3 
0.891007 -0.45399 48 3 
0.156434 -0.987688 49 3 
-1.83697e-16 -1 49 3 
-0.587785 -0.809017 50 2 
0.987688 -0.156434 52 3 
-0.45399 -0.891007 54 2 
0.987688 -0.156434 55 3 
0.951057 -0.309017 55 3 
0.707107 -0.707107 57 3 
0.522499 0.85264 60 0 
0.45399 0.891007 60 0 
0.156434 0.987688 61 0 
-0.309017 0.951057 62 1 
0.951057 -0.309017 64 3 
0.375 0 65 4 
0.5 0 65 4 
0.309017 0.951057 66 0 
0.951057 0.309017 68 0 
-0.809017 -0.587785 70 2 
-0.707107 -0.707107 70 2 
0.809017 0.587785 73 0 
0.891007 0.45399 75 0 
0.25 0 79 4 
0.125 0 79 4 
-0.5 0 88 4 
-0.951057 -0.309017 91 2 
-0.5 0 100 4 
-0.5 0 104 4 
-0.375 0 104 4 
-0.809017 -0.587785 113 2 
-0.25 0 125 4 
-0.375 0 125 4 
-0.309017 -0.951057 126 2 
-0.45399 -0.891007 126 2 
-0.375 0 127 4 
-0.587785 -0.809017 128 2 
-0.45399 -0.891007 128 2 
-0.809017 -0.587785 133 2 
-0.375 0 138 4 
-0.25 0 138 4 
-0.5 0 139 4 
-0.375 0 139 4 
0.25 0 163 4 
-0.5 0 164 4 
-0.25 0 166 4 
-0.375 0 168 4 
-0.125 0 170 4 
-0.25 0 173 4 
-0.375 0 176 4 
-0.25 0 178 4 
-0.125 0 178 4 
9.99201e-16 0 180 4 
9.99201e-16 0 187 4 
-0.125 0 187 4 
9.99201e-16 0 188 4 
0.125 0 188 4 
9.99201e-16 0 189 4 
0.25 0 190 4 
0.125 0 191 4 
0.25 0 196 4 
0.125 0 196 4 
9.99201e-16 0 199 4 
0.125 0 199 4 
0.25 0 202 4 
0.375 0 202 4 
-0.125 0 207 4 
0.25 0 208 4 
0.125 0 212 4 
-0.125 0 215 4 
9.99201e-16 0 215 4 
0.156434 -0.987688 221 3 
0.309017 -0.951057 221 3 
-0.809017 0.587785 237 1 
0.5 0 241 4 
-0.809017 0.587785 262 1 
-0.809017 0.587785 264 1 
-0.891007 0.45399 264 1 
-0.891007 0.45399 265 1 
0.375 0 269 4 
0.5 0 269 4 
-0.156434 0.987688 283 1 
-0.309017 0.951057 283 1 
-0.45399 0.891007 301 1 
6.12323e-17 1 303 1 
-0.45399 0.891007 307 1 
-0.587785 0.809017 307 1 
-0.156434 0.987688 313 1 
-0.45399 0.891007 317 1 
-0.309017 0.951057 317 1 
-0.45399 0.891007 320 1 
-0.587785 0.809017 321 1 
