ZONE I=50, J=4
-2.01363e-10 3.01361e-10 -8.80453e-14 1.33615e-13 5.5675e-20 
0.02 2.56656e-10 7.44836e-6 9.66396e-14 0.000163252 
0.04 1.7339e-10 1.24769e-5 5.42311e-14 0.000607919 
0.06 9.0123e-11 1.51934e-5 2.29322e-14 0.0012731 
0.08 -2.71796e-10 1.57052e-5 -4.91115e-14 0.00210642 
0.1 -4.97511e-11 1.41201e-5 -5.2237e-15 0.00306342 
0.12 9.27837e-10 1.05456e-5 6.40798e-14 0.00410702 
0.14 5.9477e-10 5.08937e-6 8.88689e-15 0.00520689 
0.16 2.61703e-10 -2.14098e-6 -9.32443e-15 0.00633893 
0.18 0.0 -1.10379e-5 8.30162e-16 0.00748465 
0.2 5.55112e-17 -2.14937e-5 7.26829e-16 0.0086306 
0.22 1.50681e-10 -3.34008e-5 -2.69459e-14 0.00976779 
0.24 1.50681e-10 -4.66516e-5 -3.36008e-14 0.0108911 
0.26 5.55112e-17 -6.11385e-5 3.9844e-16 0.0119988 
0.28 -2.77556e-17 -7.6754e-5 3.10588e-16 0.0130918 
0.3 5.55112e-17 -9.33902e-5 2.47347e-16 0.0141732 
0.32 1.70866e-10 -0.00011094 -6.42835e-14 0.0152477 
0.34 3.92911e-10 -0.000129295 -1.60728e-13 0.0163209 
0.36 -1.40588e-10 -0.000148348 6.20853e-14 0.0173989 
0.38 -1.96099e-10 -0.000167992 9.20275e-14 0.0184875 
0.4 1.50681e-10 -0.000188119 -7.36356e-14 0.0195921 
0.42 1.50681e-10 -0.000208621 -7.68646e-14 0.0207164 
0.44 -4.33283e-10 -0.00022939 2.33722e-13 0.0218623 
0.46 -7.38594e-10 -0.000250319 4.11778e-13 0.0230294 
0.48 -1.04391e-9 -0.000271301 5.98968e-13 0.0242141 
0.5 -4.46075e-10 -0.000292228 2.64134e-13 0.0254092 
0.52 -1.42244e-9 -0.000315577 7.99554e-13 0.0266065 
0.54 -7.18098e-11 -0.000340059 4.41798e-14 0.0278077 
0.56 -3.95815e-10 -0.000365711 2.21196e-13 0.0290166 
0.58 -2.2829e-9 -0.000392573 1.23197e-12 0.0302364 
0.6 -5.62062e-9 -0.000420683 2.9723e-12 0.0314695 
0.62 -1.02957e-8 -0.000450081 5.33359e-12 0.0327175 
0.64 -6.85802e-17 -0.000480805 9.55521e-15 0.0339817 
0.66 -7.38028e-10 -0.000512893 3.75476e-13 0.035263 
0.68 -2.6854e-9 -0.000546385 1.30383e-12 0.0365617 
0.7 -5.72582e-9 -0.000581319 2.68768e-12 0.0378779 
0.72 -9.75255e-9 -0.000617735 4.42474e-12 0.0392115 
0.74 -5.57246e-11 -0.00065567 4.34687e-14 0.040562 
0.76 -9.48686e-10 -0.000695164 4.1998e-13 0.0419293 
0.78 -2.70411e-9 -0.000736256 1.11205e-12 0.0433127 
0.8 -5.22468e-9 -0.000778983 2.03211e-12 0.044712 
0.82 -1.56755e-16 -0.000823386 3.28257e-14 0.0461269 
0.84 -1.1744e-10 -0.000869502 7.77093e-14 0.0475575 
0.86 -9.32148e-10 -0.000917371 3.42991e-13 0.049004 
0.88 -2.3122e-9 -0.000967032 7.42484e-13 0.0504671 
0.9 -4.17165e-9 -0.00101852 1.21111e-12 0.0519477 
0.92 -2.05741e-16 -0.00107188 6.07845e-14 0.0534476 
0.94 -8.98028e-11 -0.00112715 8.86783e-14 0.0549688 
0.96 -6.78722e-10 -0.00118436 2.13852e-13 0.0565142 
0.98 -1.58766e-9 -0.00124356 3.64614e-13 0.0580874 
-2.01363e-10 3.01361e-10 -8.80453e-14 1.33615e-13 5.5675e-20 
-2.60898e-10 0.02 -9.44904e-14 7.28988e-6 0.000156865 
-1.74853e-10 0.04 -5.07554e-14 1.15694e-5 0.000589175 
-8.88066e-11 0.06 -1.96459e-14 1.30558e-5 0.00124401 
-2.76067e-12 0.08 -3.12083e-16 1.19661e-5 0.00207426 
8.32853e-11 0.1 8.09574e-15 8.51757e-6 0.00303832 
1.69331e-10 0.12 6.42729e-15 2.92722e-6 0.00409991 
-1.21968e-10 0.14 2.83736e-15 -4.58776e-6 0.00522772 
-5.93891e-11 0.16 4.88949e-15 -1.38102e-5 0.00639521 
3.18971e-12 0.18 4.62338e-16 -2.45231e-5 0.00758035 
1.31181e-10 0.2 -2.06645e-14 -3.65091e-5 0.00876532 
6.86023e-11 0.22 -1.29371e-14 -4.95513e-5 0.00993628 
6.02331e-12 0.24 1.19651e-16 -6.34324e-5 0.0110831 
-5.65557e-11 0.26 1.78883e-14 -7.79353e-5 0.0121991 
-1.19135e-10 0.28 3.97517e-14 -9.28429e-5 0.0132807 
-1.81714e-10 0.3 6.50923e-14 -0.000107938 0.0143274 
8.28347e-11 0.32 -2.75886e-14 -0.000123004 0.0153413 
-1.10337e-11 0.34 7.77363e-15 -0.000137822 0.0163269 
2.70393e-10 0.36 -1.07265e-13 -0.000152177 0.0172908 
1.45236e-10 0.38 -5.7623e-14 -0.000165851 0.0182415 
2.00777e-11 0.4 -3.91036e-15 -0.000178627 0.0191891 
-1.0508e-10 0.42 5.26384e-14 -0.000190287 0.0201452 
-2.30238e-10 0.44 1.10788e-13 -0.000200615 0.0211223 
-8.50854e-11 0.46 4.5335e-14 -0.000211805 0.0221136 
-3.52074e-11 0.48 2.06553e-14 -0.000223298 0.0230876 
1.46705e-11 0.5 -6.36948e-15 -0.000234694 0.0240442 
6.45484e-11 0.52 -3.53729e-14 -0.000245971 0.0249845 
1.14426e-10 0.54 -6.59888e-14 -0.000257105 0.0259092 
-5.53737e-11 0.56 3.3723e-14 -0.000268076 0.0268192 
-5.53736e-11 0.58 3.48679e-14 -0.00027886 0.027715 
-5.53736e-11 0.6 3.60741e-14 -0.000289435 0.0285971 
-5.53735e-11 0.62 3.72814e-14 -0.00029978 0.0294659 
7.04156e-11 0.64 -4.22501e-14 -0.000309872 0.0303216 
4.54767e-11 0.66 -2.55771e-14 -0.000319688 0.0311643 
2.05378e-11 0.68 -8.69309e-15 -0.000329207 0.0319939 
-4.40109e-12 0.7 8.12874e-15 -0.000338406 0.0328099 
-2.934e-11 0.72 2.4615e-14 -0.000347263 0.0336118 
-5.42788e-11 0.74 4.04923e-14 -0.000355755 0.0343989 
-7.92177e-11 0.76 5.54874e-14 -0.00036386 0.0351701 
-1.15521e-10 0.78 7.62132e-14 -0.000371557 0.0359243 
-1.90338e-10 0.8 1.1784e-13 -0.000378822 0.0366597 
-2.65154e-10 0.82 1.55806e-13 -0.000385633 0.0373747 
2.75061e-10 0.84 -1.47647e-13 -0.000391969 0.0380671 
1.81541e-10 0.86 -9.39381e-14 -0.000397807 0.0387344 
8.80196e-11 0.88 -4.52783e-14 -0.000403124 0.039374 
-5.50137e-12 0.9 -2.52769e-15 -0.000407899 0.0399827 
-9.90223e-11 0.92 3.34541e-14 -0.000412109 0.040557 
-1.92543e-10 0.94 6.18076e-14 -0.000415732 0.0410932 
-2.86064e-10 0.96 8.16729e-14 -0.000418745 0.041587 
-3.79585e-10 0.98 9.21906e-14 -0.000421127 0.0420339 
-2.01363e-10 3.01361e-10 -8.80453e-14 1.33615e-13 5.5675e-20 
-0.02 -2.56656e-10 -7.44836e-6 -9.64694e-14 0.000163252 
-0.04 -1.73389e-10 -1.24769e-5 -5.39057e-14 0.000607919 
-0.06 -9.01227e-11 -1.51934e-5 -2.24652e-14 0.0012731 
-0.08 1.5068e-10 -1.57052e-5 2.74104e-14 0.00210642 
-0.1 1.50681e-10 -1.41201e-5 1.8546e-14 0.00306342 
-0.12 -1.96098e-10 -1.05456e-5 -1.35125e-14 0.00410702 
-0.14 -1.40587e-10 -5.08937e-6 -1.92312e-15 0.00520689 
-0.16 -8.50762e-11 2.14098e-6 3.43022e-15 0.00633893 
-0.18 1.5068e-10 1.10379e-5 -1.31821e-14 0.00748465 
-0.2 1.5068e-10 2.14937e-5 -2.02168e-14 0.0086306 
-0.22 -2.77556e-17 3.34008e-5 6.54053e-16 0.00976779 
-0.24 -5.55112e-17 4.66516e-5 8.4478e-16 0.0108911 
-0.26 1.5068e-10 6.11385e-5 -3.92798e-14 0.0119988 
-0.28 1.50681e-10 7.6754e-5 -4.4977e-14 0.0130918 
-0.3 5.55112e-17 9.33902e-5 1.33791e-15 0.0141732 
-0.32 0.0 0.00011094 1.45262e-15 0.0152477 
-0.34 -5.55112e-17 0.000129295 1.53078e-15 0.0163209 
-0.36 1.30495e-10 0.000148348 -5.57946e-14 0.0173989 
-0.38 2.41517e-10 0.000167992 -1.11291e-13 0.0184875 
-0.4 -5.55112e-17 0.000188119 1.47603e-15 0.0195921 
-0.42 5.55112e-17 0.000208621 1.33794e-15 0.0207164 
-0.44 9.01229e-11 0.00022939 -4.72376e-14 0.0218623 
-0.46 1.7339e-10 0.000250319 -9.54453e-14 0.0230294 
