ZONE I=40, J=105
0.316266 0.403684 0.0261738 -0.0524723
0.332079 0.423868 0.0288426 -0.0578366
0.347893 0.444052 0.0316386 -0.0634598
0.363706 0.464236 0.0345617 -0.0693415
0.379519 0.484421 0.0376113 -0.0754811
0.395333 0.504605 0.040787 -0.0818784
0.411146 0.524789 0.0440884 -0.0885328
0.426959 0.544973 0.0475149 -0.0954439
0.442773 0.565157 0.0510661 -0.102611
0.458586 0.585342 0.0547415 -0.110034
0.474399 0.605526 0.0585405 -0.117712
0.490212 0.62571 0.0624625 -0.125645
0.506026 0.645894 0.0665071 -0.133831
0.521839 0.666078 0.0706736 -0.142271
0.537652 0.686263 0.0749614 -0.150964
0.553466 0.706447 0.0793699 -0.159909
0.569279 0.726631 0.0838984 -0.169106
0.585092 0.746815 0.0885463 -0.178553
0.600906 0.766999 0.0933129 -0.18825
0.616719 0.787183 0.0981974 -0.198197
0 0 0 -0
0.0145658 0.0211022 6.57467e-05 -0.000131493
0.0291315 0.0422043 0.000262993 -0.000525978
0.0436973 0.0633065 0.000591758 -0.00118347
0.0582631 0.0844086 0.00105207 -0.00210401
0.0728288 0.105511 0.00164398 -0.00328764
0.0873946 0.126613 0.00236754 -0.0047344
0.10196 0.147715 0.00322282 -0.00644438
0.116526 0.168817 0.00420989 -0.00841765
0.131092 0.189919 0.00532886 -0.0106543
0.145658 0.211022 0.00657983 -0.0131545
0.160223 0.232124 0.00796292 -0.0159182
0.174789 0.253226 0.00947826 -0.0189457
0.189355 0.274328 0.011126 -0.0222371
0.203921 0.29543 0.0129063 -0.0257925
0.218486 0.316532 0.0148193 -0.0296122
0.233052 0.337634 0.0168652 -0.0336962
0.247618 0.358737 0.0190442 -0.0380448
0.262184 0.379839 0.0213565 -0.0426582
0.276749 0.400941 0.0238023 -0.0475367
0.291315 0.422043 0.0263819 -0.0526803
0.305881 0.443145 0.0290954 -0.0580895
0.320447 0.464247 0.0319432 -0.0637644
0.335013 0.485349 0.0349256 -0.0697053
0.349578 0.506452 0.0380427 -0.0759125
0.364144 0.527554 0.0412949 -0.0823863
0.37871 0.548656 0.0446825 -0.089127
0.393276 0.569758 0.0482059 -0.0961349
0.407841 0.59086 0.0518653 -0.10341
0.422407 0.611962 0.0556611 -0.110954
0.436973 0.633065 0.0595936 -0.118765
0.451539 0.654167 0.0636633 -0.126845
0.466104 0.675269 0.0678705 -0.135195
0.48067 0.696371 0.0722155 -0.143813
0.495236 0.717473 0.0766989 -0.152702
0.509802 0.738575 0.081321 -0.16186
0.524367 0.759677 0.0860822 -0.171289
0.538933 0.78078 0.0909831 -0.18099
0.553499 0.801882 0.096024 -0.190961
0.568065 0.822984 0.101205 -0.201205
0 0 0 -0
0.0132651 0.0219431 6.5748e-05 -0.000131494
0.0265301 0.0438862 0.000263013 -0.000525998
0.0397952 0.0658293 0.00059186 -0.00118358
0.0530603 0.0877724 0.00105239 -0.00210433
0.0663254 0.109716 0.00164476 -0.00328842
0.0795904 0.131659 0.00236916 -0.00473603
0.0928555 0.153602 0.00322582 -0.00644739
0.106121 0.175545 0.00421502 -0.00842278
0.119386 0.197488 0.00533708 -0.0106625
0.132651 0.219431 0.00659236 -0.013167
0.145916 0.241374 0.00798127 -0.0159366
0.159181 0.263317 0.00950424 -0.0189717
0.172446 0.28526 0.0111618 -0.0222729
0.185711 0.307204 0.0129544 -0.0258407
0.198976 0.329147 0.0148827 -0.0296756
0.212241 0.35109 0.0169473 -0.0337783
0.225506 0.373033 0.0191488 -0.0381495
0.238771 0.394976 0.021488 -0.0427898
0.252036 0.416919 0.0239656 -0.0477
0.265301 0.438862 0.0265823 -0.0528808
0.278567 0.460805 0.0293391 -0.0583332
0.291832 0.482748 0.0322367 -0.0640579
0.305097 0.504692 0.0352762 -0.0700559
0.318362 0.526635 0.0384584 -0.0763282
0.331627 0.548578 0.0417844 -0.0828758
0.344892 0.570521 0.0452551 -0.0896996
0.358157 0.592464 0.0488718 -0.0968008
0.371422 0.614407 0.0526355 -0.10418
0.384687 0.63635 0.0565473 -0.11184
0.397952 0.658293 0.0606086 -0.11978
0.411217 0.680236 0.0648205 -0.128003
0.424482 0.70218 0.0691843 -0.136508
0.437747 0.724123 0.0737015 -0.145299
0.451012 0.746066 0.0783733 -0.154376
0.464278 0.768009 0.0832013 -0.16374
0.477543 0.789952 0.0881868 -0.173394
0.490808 0.811895 0.0933314 -0.183338
0.504073 0.833838 0.0986366 -0.193574
0.517338 0.855781 0.104104 -0.204104
0 0 0 -0
0.011916 0.022704 6.57491e-05 -0.000131495
0.023832 0.045408 0.000263031 -0.000526016
0.0357479 0.068112 0.000591948 -0.00118366
0.0476639 0.090816 0.00105267 -0.00210461
0.0595799 0.11352 0.00164545 -0.0032891
0.0714959 0.136224 0.00237058 -0.00473744
0.0834119 0.158928 0.00322845 -0.00645001
0.0953278 0.181632 0.0042195 -0.00842726
0.107244 0.204336 0.00534425 -0.0106697
0.11916 0.22704 0.00660329 -0.0131779
0.131076 0.249744 0.00799726 -0.0159526
0.142992 0.272448 0.00952689 -0.0189943
0.154908 0.295152 0.011193 -0.0223041
0.166824 0.317856 0.0129964 -0.0258826
0.17874 0.34056 0.014938 -0.0297309
0.190656 0.363264 0.0170189 -0.0338499
0.202572 0.385968 0.0192401 -0.0382407
0.214488 0.408672 0.0216027 -0.0429045
0.226404 0.431376 0.0241079 -0.0478423
0.23832 0.45408 0.0267571 -0.0530556
0.250236 0.476784 0.0295515 -0.0585456
0.262152 0.499488 0.0324926 -0.0643138
0.274068 0.522192 0.0355819 -0.0703616
0.285983 0.544896 0.0388208 -0.0766906
0.297899 0.5676 0.0422111 -0.0833025
0.309815 0.590304 0.0457543 -0.0901988
0.321731 0.613008 0.0494523 -0.0973813
0.333647 0.635712 0.0533069 -0.104852
0.345563 0.658416 0.0573199 -0.112612
0.357479 0.68112 0.0614934 -0.120665
0.369395 0.703824 0.0658293 -0.129011
0.381311 0.726528 0.0703298 -0.137654
0.393227 0.749232 0.0749969 -0.146595
0.405143 0.771936 0.0798331 -0.155836
0.417059 0.79464 0.0848405 -0.16538
0.428975 0.817344 0.0900215 -0.175229
0.440891 0.840048 0.0953787 -0.185385
0.452807 0.862752 0.100914 -0.195852
0.464723 0.885456 0.106631 -0.206631
0 0 0 -0
0.0105234 0.023382 6.57499e-05 -0.000131496
0.0210468 0.0467641 0.000263044 -0.000526029
0.0315702 0.0701461 0.000592016 -0.00118373
0.0420936 0.0935282 0.00105289 -0.00210483
0.052617 0.11691 0.00164597 -0.00328962
0.0631404 0.140292 0.00237166 -0.00473852
0.0736638 0.163674 0.00323045 -0.00645201
0.0841872 0.187056 0.00422291 -0.00843067
0.0947106 0.210438 0.00534971 -0.0106752
0.105234 0.23382 0.00661161 -0.0131862
0.115757 0.257203 0.00800945 -0.0159647
0.126281 0.280585 0.00954416 -0.0190116
0.136804 0.303967 0.0112168 -0.0223279
0.147328 0.327349 0.0130284 -0.0259146
0.157851 0.350731 0.0149802 -0.0297731
0.168374 0.374113 0.0170735 -0.0339045
0.178898 0.397495 0.0193096 -0.0383103
0.189421 0.420877 0.0216901 -0.0429919
0.199945 0.444259 0.0242165 -0.0479509
0.210468 0.467641 0.0268904 -0.0531888
0.220992 0.491023 0.0297135 -0.0587076
0.231515 0.514405 0.0326877 -0.0645089
0.242038 0.537787 0.0358149 -0.0705947
0.252562 0.561169 0.0390971 -0.0769669
0.263085 0.584551 0.0425364 -0.0836278
0.273609 0.607933 0.0461349 -0.0905793
0.284132 0.631315 0.0498949 -0.0978239
0.294655 0.654697 0.0538188 -0.105364
0.305179 0.678079 0.0579089 -0.113201
0.315702 0.701461 0.0621679 -0.12134
0.326226 0.724843 0.0665984 -0.12978
0.336749 0.748226 0.071203 -0.138527
0.347272 0.771608 0.0759846 -0.147582
0.357796 0.79499 0.080946 -0.156949
0.368319 0.818372 0.0860902 -0.166629
0.378843 0.841754 0.0914203 -0.176627
0.389366 0.865136 0.0969394 -0.186946
0.399889 0.888518 0.102651 -0.197588
0.410413 0.9119 0.108558 -0.208558
0 0 0 -0
0.00909243 0.0239748 6.57504e-05 -0.000131497
0.0181849 0.0479496 0.000263052 -0.000526037
0.0272773 0.0719243 0.000592056 -0.00118377
0.0363697 0.0958991 0.00105301 -0.00210495
0.0454622 0.119874 0.00164628 -0.00328993
0.0545546 0.143849 0.0023723 -0.00473917
0.063647 0.167823 0.00323164 -0.00645321
0.0727395 0.191798 0.00422495 -0.00843271
0.0818319 0.215773 0.00535298 -0.0106784
0.0909243 0.239748 0.00661659 -0.0131912
0.100017 0.263723 0.00801674 -0.015972
0.109109 0.287697 0.00955448 -0.0190219
0.118202 0.311672 0.011231 -0.0223421
0.127294 0.335647 0.0130475 -0.0259337
0.136386 0.359622 0.0150054 -0.0297983
0.145479 0.383596 0.0171061 -0.0339371
0.154571 0.407571 0.0193512 -0.0383518
0.163664 0.431546 0.0217424 -0.0430441
0.172756 0.455521 0.0242813 -0.0480157
0.181849 0.479496 0.02697 -0.0532685
0.190941 0.50347 0.0298103 -0.0588044
0.200034 0.527445 0.0328043 -0.0646255
0.209126 0.55142 0.0359542 -0.070734
0.218218 0.575395 0.0392623 -0.0771321
0.227311 0.599369 0.0427308 -0.0838222
0.236403 0.623344 0.0463624 -0.0908068
0.245496 0.647319 0.0501594 -0.0980884
0.254588 0.671294 0.0541247 -0.10567
0.263681 0.695268 0.058261 -0.113554
0.272773 0.719243 0.0625711 -0.121743
0.281865 0.743218 0.0670581 -0.13024
0.290958 0.767193 0.071725 -0.139049
0.30005 0.791168 0.0765749 -0.148173
0.309143 0.815142 0.0816112 -0.157614
0.318235 0.839117 0.0868372 -0.167376
0.327328 0.863092 0.0922564 -0.177463
0.33642 0.887067 0.0978724 -0.187879
0.345512 0.911041 0.103689 -0.198626
0.354605 0.935016 0.109709 -0.209709
0 0 0 -0
0.00762828 0.02448 6.57505e-05 -0.000131497
0.0152566 0.04896 0.000263054 -0.000526039
0.0228849 0.0734401 0.000592065 -0.00118378
0.0305131 0.0979201 0.00105304 -0.00210498
0.0381414 0.1224 0.00164635 -0.00329001
0.0457697 0.14688 0.00237246 -0.00473932
0.053398 0.17136 0.00323192 -0.00645349
0.0610263 0.19584 0.00422543 -0.00843319
0.0686546 0.22032 0.00535375 -0.0106792
0.0762828 0.2448 0.00661777 -0.0131924
0.0839111 0.26928 0.00801846 -0.0159738
0.0915394 0.29376 0.00955692 -0.0190244
0.0991677 0.31824 0.0112343 -0.0223455
0.106796 0.34272 0.013052 -0.0259383
0.114424 0.3672 0.0150113 -0.0298042
0.122053 0.39168 0.0171138 -0.0339448
0.129681 0.41616 0.019361 -0.0383617
0.137309 0.44064 0.0217547 -0.0430565
0.144937 0.46512 0.0242967 -0.0480311
0.152566 0.4896 0.0269888 -0.0532873
0.160194 0.51408 0.0298332 -0.0588273
0.167822 0.53856 0.0328319 -0.0646531
0.175451 0.563041 0.0359872 -0.0707669
0.183079 0.587521 0.0393013 -0.0771712
0.190707 0.612001 0.0427768 -0.0838682
0.198335 0.636481 0.0464161 -0.0908606
0.205964 0.660961 0.050222 -0.098151
0.213592 0.685441 0.0541971 -0.105742
0.22122 0.709921 0.0583443 -0.113637
0.228849 0.734401 0.0626665 -0.121838
0.236477 0.758881 0.0671668 -0.130349
0.244105 0.783361 0.0718484 -0.139173
0.251733 0.807841 0.0767145 -0.148312
0.259362 0.832321 0.0817685 -0.157771
0.26699 0.856801 0.0870138 -0.167553
0.274618 0.881281 0.0924541 -0.177661
0.282246 0.905761 0.098093 -0.1881
0.289875 0.930241 0.103934 -0.198872
0.297503 0.954721 0.109982 -0.209982
0 0 0 -0
0.0061363 0.0248959 6.57503e-05 -0.000131496
0.0122726 0.0497919 0.00026305 -0.000526034
0.0184089 0.0746878 0.000592043 -0.00118376
0.0245452 0.0995838 0.00105297 -0.00210491
0.0306815 0.12448 0.00164618 -0.00328984
0.0368178 0.149376 0.0023721 -0.00473897
0.0429541 0.174272 0.00323127 -0.00645283
0.0490904 0.199168 0.00422431 -0.00843207
0.0552267 0.224063 0.00535196 -0.0106774
0.061363 0.248959 0.00661504 -0.0131897
0.0674993 0.273855 0.00801447 -0.0159698
0.0736356 0.298751 0.00955126 -0.0190187
0.0797719 0.323647 0.0112265 -0.0223377
0.0859082 0.348543 0.0130415 -0.0259278
0.0920445 0.373439 0.0149975 -0.0297904
0.0981808 0.398335 0.0170959 -0.0339269
0.104317 0.423231 0.0193382 -0.0383389
0.110453 0.448127 0.0217261 -0.0430278
0.11659 0.473023 0.0242611 -0.0479955
0.122726 0.497919 0.0269452 -0.0532436
0.128862 0.522815 0.0297801 -0.0587742
0.134999 0.547711 0.032768 -0.0645891
0.141135 0.572607 0.0359108 -0.0706905
0.147271 0.597503 0.0392108 -0.0770806
0.153407 0.622399 0.0426702 -0.0837616
0.159544 0.647295 0.0462914 -0.0907358
0.16568 0.67219 0.0500769 -0.0980059
0.171816 0.697086 0.0540293 -0.105574
0.177953 0.721982 0.0581512 -0.113444
0.184089 0.746878 0.0624453 -0.121617
0.190225 0.771774 0.0669147 -0.130097
0.196362 0.79667 0.0715621 -0.138886
0.202498 0.821566 0.0763907 -0.147988
0.208634 0.846462 0.0814037 -0.157406
0.21477 0.871358 0.0866041 -0.167143
0.220907 0.896254 0.0919956 -0.177203
0.227043 0.92115 0.0975813 -0.187588
0.233179 0.946046 0.103365 -0.198303
0.239316 0.970942 0.10935 -0.20935
0 0 0 -0
0.00462192 0.025221 6.57496e-05 -0.000131496
0.00924385 0.050442 0.000263039 -0.000526024
0.0138658 0.0756631 0.000591992 -0.00118371
0.0184877 0.100884 0.00105281 -0.00210475
0.0231096 0.126105 0.00164578 -0.00328944
0.0277315 0.151326 0.00237127 -0.00473814
0.0323535 0.176547 0.00322973 -0.0064513
0.0369754 0.201768 0.0042217 -0.00842945
0.0415973 0.226989 0.00534777 -0.0106732
0.0462192 0.25221 0.00660865 -0.0131833
0.0508412 0.277431 0.00800511 -0.0159604
0.0554631 0.302652 0.00953801 -0.0190055
0.060085 0.327873 0.0112083 -0.0223194
0.0647069 0.353094 0.013017 -0.0259032
0.0693289 0.378315 0.0149652 -0.0297581
0.0739508 0.403536 0.017054 -0.0338851
0.0785727 0.428757 0.0192849 -0.0382855
0.0831946 0.453978 0.021659 -0.0429607
0.0878166 0.479199 0.0241778 -0.0479122
0.0924385 0.50442 0.0268429 -0.0531414
0.0970604 0.529641 0.0296558 -0.0586499
0.101682 0.554863 0.0326183 -0.0644394
0.106304 0.580084 0.035732 -0.0705117
0.110926 0.605305 0.0389987 -0.0768686
0.115548 0.630526 0.0424205 -0.0835119
0.12017 0.655747 0.0459994 -0.0904438
0.124792 0.680968 0.0497373 -0.0976663
0.129414 0.706189 0.0536365 -0.105182
0.134036 0.73141 0.0576992 -0.112992
0.138658 0.756631 0.0619277 -0.121099
0.14328 0.781852 0.0663245 -0.129507
0.147902 0.807073 0.0708921 -0.138216
0.152523 0.832294 0.0756329 -0.147231
0.157145 0.857515 0.0805497 -0.156552
0.161767 0.882736 0.0856452 -0.166184
0.166389 0.907957 0.0909222 -0.176129
0.171011 0.933178 0.0963837 -0.18639
0.175633 0.958399 0.102033 -0.19697
0.180255 0.98362 0.107872 -0.207872
0 0 0 -0
0.00309068 0.0254541 6.57487e-05 -0.000131495
0.00618137 0.0509081 0.000263024 -0.000526009
0.00927205 0.0763622 0.000591915 -0.00118363
0.0123627 0.101816 0.00105257 -0.00210451
0.0154534 0.12727 0.00164519 -0.00328885
0.0185441 0.152724 0.00237005 -0.00473691
0.0216348 0.178179 0.00322746 -0.00644903
0.0247255 0.203633 0.00421782 -0.00842557
0.0278162 0.229087 0.00534155 -0.010667
0.0309068 0.254541 0.00659918 -0.0131738
0.0339975 0.279995 0.00799124 -0.0159465
0.0370882 0.305449 0.00951837 -0.0189858
0.0401789 0.330903 0.0111812 -0.0222924
0.0432696 0.356357 0.0129806 -0.0258668
0.0463603 0.381811 0.0149172 -0.0297101
0.0494509 0.407265 0.016992 -0.033823
0.0525416 0.432719 0.0192057 -0.0382064
0.0556323 0.458173 0.0215595 -0.0428613
0.058723 0.483627 0.0240544 -0.0477888
0.0618137 0.509081 0.0266914 -0.0529899
0.0649044 0.534536 0.0294716 -0.0584657
0.0679951 0.55999 0.0323964 -0.0642176
0.0710857 0.585444 0.0354669 -0.0702466
0.0741764 0.610898 0.0386845 -0.0765543
0.0772671 0.636352 0.0420506 -0.083142
0.0803578 0.661806 0.0455665 -0.090011
0.0834485 0.68726 0.0492339 -0.0971629
0.0865392 0.712714 0.0530543 -0.104599
0.0896298 0.738168 0.0570293 -0.112322
0.0927205 0.763622 0.0611606 -0.120332
0.0958112 0.789076 0.0654498 -0.128632
0.0989019 0.81453 0.0698989 -0.137223
0.101993 0.839984 0.0745097 -0.146107
0.105083 0.865439 0.079284 -0.155287
0.108174 0.890893 0.0842239 -0.164763
0.111265 0.916347 0.0893314 -0.174538
0.114355 0.941801 0.0946086 -0.184615
0.117446 0.967255 0.100058 -0.194995
0.120537 0.992709 0.105681 -0.205681
0 0 0 -0
0.00154817 0.0255942 6.57475e-05 -0.000131494
0.00309633 0.0511885 0.000263005 -0.00052599
0.0046445 0.0767827 0.00059182 -0.00118354
0.00619267 0.102377 0.00105227 -0.00210421
0.00774083 0.127971 0.00164446 -0.00328811
0.009289 0.153565 0.00236853 -0.00473539
0.0108372 0.17916 0.00322465 -0.00644622
0.0123853 0.204754 0.00421303 -0.00842078
0.0139335 0.230348 0.00533388 -0.0106593
0.0154817 0.255942 0.00658748 -0.0131621
0.0170298 0.281537 0.00797412 -0.0159294
0.018578 0.307131 0.00949412 -0.0189616
0.0201262 0.332725 0.0111478 -0.022259
0.0216743 0.358319 0.0129357 -0.0258219
0.0232225 0.383914 0.014858 -0.0296509
0.0247707 0.409508 0.0169153 -0.0337463
0.0263188 0.435102 0.0191081 -0.0381087
0.027867 0.460696 0.0214368 -0.0427385
0.0294152 0.486291 0.023902 -0.0476364
0.0309633 0.511885 0.0265042 -0.0528027
0.0325115 0.537479 0.0292442 -0.0582383
0.0340597 0.563073 0.0321224 -0.0639436
0.0356078 0.588668 0.0351396 -0.0699194
0.037156 0.614262 0.0382965 -0.0761663
0.0387042 0.639856 0.0415937 -0.0826851
0.0402523 0.66545 0.0450321 -0.0894765
0.0418005 0.691045 0.0486124 -0.0965414
0.0433487 0.716639 0.0523355 -0.103881
0.0448968 0.742233 0.0562021 -0.111495
0.046445 0.767827 0.0602132 -0.119385
0.0479932 0.793422 0.0643697 -0.127552
0.0495413 0.819016 0.0686726 -0.135997
0.0510895 0.84461 0.0731227 -0.14472
0.0526377 0.870204 0.0777211 -0.153724
0.0541858 0.895799 0.0824689 -0.163008
0.055734 0.921393 0.087367 -0.172574
0.0572822 0.946987 0.0924167 -0.182423
0.0588303 0.972581 0.097619 -0.192557
0.0603785 0.998176 0.102975 -0.202975
-0 0 0 0
-4.12339e-18 0.025641 6.57462e-05 -0.000131492
-8.24678e-18 0.0512821 0.000262985 -0.00052597
-1.23702e-17 0.0769231 0.000591716 -0.00118343
-1.64936e-17 0.102564 0.00105194 -0.00210388
-2.0617e-17 0.128205 0.00164366 -0.00328731
-2.47403e-17 0.153846 0.00236686 -0.00473373
-2.88637e-17 0.179487 0.00322156 -0.00644313
-3.29871e-17 0.205128 0.00420776 -0.00841552
-3.71105e-17 0.230769 0.00532544 -0.0106509
-4.12339e-17 0.25641 0.00657462 -0.0131492
-4.53573e-17 0.282051 0.00795529 -0.0159106
-4.94807e-17 0.307692 0.00946746 -0.0189349
-5.36041e-17 0.333333 0.0111111 -0.0222222
-5.77275e-17 0.358974 0.0128863 -0.0257725
-6.18509e-17 0.384615 0.0147929 -0.0295858
-6.59743e-17 0.410256 0.016831 -0.0336621
-7.00977e-17 0.435897 0.0190007 -0.0380013
-7.4221e-17 0.461538 0.0213018 -0.0426036
-7.83444e-17 0.487179 0.0237344 -0.0474688
-8.24678e-17 0.512821 0.0262985 -0.052597
-8.65912e-17 0.538462 0.0289941 -0.0579882
-9.07146e-17 0.564103 0.0318212 -0.0636423
-9.4838e-17 0.589744 0.0347798 -0.0695595
-9.89614e-17 0.615385 0.0378698 -0.0757396
-1.03085e-16 0.641026 0.0410914 -0.0821828
-1.07208e-16 0.666667 0.0444444 -0.0888889
-1.11332e-16 0.692308 0.047929 -0.095858
-1.15455e-16 0.717949 0.051545 -0.10309
-1.19578e-16 0.74359 0.0552926 -0.110585
-1.23702e-16 0.769231 0.0591716 -0.118343
-1.27825e-16 0.794872 0.0631821 -0.126364
-1.31949e-16 0.820513 0.0673241 -0.134648
-1.36072e-16 0.846154 0.0715976 -0.143195
-1.40195e-16 0.871795 0.0760026 -0.152005
-1.44319e-16 0.897436 0.0805391 -0.161078
-1.48442e-16 0.923077 0.0852071 -0.170414
-1.52565e-16 0.948718 0.0900066 -0.180013
-1.56689e-16 0.974359 0.0949375 -0.189875
-1.60812e-16 1 0.1 -0.2
-0 0 0 0
-0.00154817 0.0255942 6.57449e-05 -0.000131491
-0.00309633 0.0511885 0.000262964 -0.000525949
-0.0046445 0.0767827 0.000591612 -0.00118333
-0.00619267 0.102377 0.00105161 -0.00210355
-0.00774083 0.127971 0.00164285 -0.00328651
-0.009289 0.153565 0.0023652 -0.00473206
-0.0108372 0.17916 0.00321848 -0.00644004
-0.0123853 0.204754 0.00420249 -0.00841025
-0.0139335 0.230348 0.00531701 -0.0106425
-0.0154817 0.255942 0.00656176 -0.0131364
-0.0170298 0.281537 0.00793646 -0.0158918
-0.018578 0.307131 0.00944079 -0.0189082
-0.0201262 0.332725 0.0110744 -0.0221855
-0.0216743 0.358319 0.0128369 -0.0257231
-0.0232225 0.383914 0.0147278 -0.0295207
-0.0247707 0.409508 0.0167468 -0.0335778
-0.0263188 0.435102 0.0188933 -0.0378939
-0.027867 0.460696 0.0211668 -0.0424686
-0.0294152 0.486291 0.0235668 -0.0473012
-0.0309633 0.511885 0.0260927 -0.0523912
-0.0325115 0.537479 0.028744 -0.0577381
-0.0340597 0.563073 0.0315199 -0.0633411
-0.0356078 0.588668 0.0344199 -0.0691996
-0.037156 0.614262 0.0374432 -0.075313
-0.0387042 0.639856 0.0405891 -0.0816804
-0.0402523 0.66545 0.0438568 -0.0883012
-0.0418005 0.691045 0.0472456 -0.0951746
-0.0433487 0.716639 0.0507546 -0.1023
-0.0448968 0.742233 0.054383 -0.109676
-0.046445 0.767827 0.05813 -0.117302
-0.0479932 0.793422 0.0619945 -0.125177
-0.0495413 0.819016 0.0659757 -0.1333
-0.0510895 0.84461 0.0700726 -0.14167
-0.0526377 0.870204 0.0742841 -0.150287
-0.0541858 0.895799 0.0786094 -0.159148
-0.055734 0.921393 0.0830472 -0.168254
-0.0572822 0.946987 0.0875964 -0.177603
-0.0588303 0.972581 0.0922561 -0.187194
-0.0603785 0.998176 0.097025 -0.197025
-0 0 0 0
-0.00309068 0.0254541 6.57438e-05 -0.00013149
-0.00618137 0.0509081 0.000262946 -0.00052593
-0.00927205 0.0763622 0.000591517 -0.00118323
-0.0123627 0.101816 0.00105131 -0.00210325
-0.0154534 0.12727 0.00164212 -0.00328578
-0.0185441 0.152724 0.00236368 -0.00473055
-0.0216348 0.178179 0.00321567 -0.00643723
-0.0247255 0.203633 0.0041977 -0.00840546
-0.0278162 0.229087 0.00530933 -0.0106348
-0.0309068 0.254541 0.00655007 -0.0131247
-0.0339975 0.279995 0.00791934 -0.0158746
-0.0370882 0.305449 0.00941654 -0.018884
-0.0401789 0.330903 0.011041 -0.0221521
-0.0432696 0.356357 0.0127919 -0.0256782
-0.0463603 0.381811 0.0146686 -0.0294615
-0.0494509 0.407265 0.0166701 -0.0335011
-0.0525416 0.432719 0.0187956 -0.0377962
-0.0556323 0.458173 0.021044 -0.0423458
-0.058723 0.483627 0.0234144 -0.0471488
-0.0618137 0.509081 0.0259056 -0.0522041
-0.0649044 0.534536 0.0285165 -0.0575106
-0.0679951 0.55999 0.031246 -0.0630671
-0.0710857 0.585444 0.0340926 -0.0688724
-0.0741764 0.610898 0.0370551 -0.074925
-0.0772671 0.636352 0.0401322 -0.0812236
-0.0803578 0.661806 0.0433223 -0.0877668
-0.0834485 0.68726 0.046624 -0.094553
-0.0865392 0.712714 0.0500358 -0.101581
-0.0896298 0.738168 0.0535558 -0.108848
-0.0927205 0.763622 0.0571826 -0.116354
-0.0958112 0.789076 0.0609144 -0.124097
-0.0989019 0.81453 0.0647494 -0.132073
-0.101993 0.839984 0.0686856 -0.140283
-0.105083 0.865439 0.0727213 -0.148724
-0.108174 0.890893 0.0768543 -0.157393
-0.111265 0.916347 0.0810828 -0.16629
-0.114355 0.941801 0.0854046 -0.175411
-0.117446 0.967255 0.0898175 -0.184755
-0.120537 0.992709 0.0943194 -0.194319
-0 0 0 0
-0.00462192 0.025221 6.57428e-05 -0.000131489
-0.00924385 0.050442 0.00026293 -0.000525915
-0.0138658 0.0756631 0.00059144 -0.00118316
-0.0184877 0.100884 0.00105107 -0.00210301
-0.0231096 0.126105 0.00164153 -0.00328518
-0.0277315 0.151326 0.00236245 -0.00472932
-0.0323535 0.176547 0.00321339 -0.00643496
-0.0369754 0.201768 0.00419382 -0.00840158
-0.0415973 0.226989 0.00530312 -0.0106286
-0.0462192 0.25221 0.0065406 -0.0131152
-0.0508412 0.277431 0.00790547 -0.0158608
-0.0554631 0.302652 0.0093969 -0.0188644
-0.060085 0.327873 0.0110139 -0.022125
-0.0647069 0.353094 0.0127555 -0.0256418
-0.0693289 0.378315 0.0146206 -0.0294135
-0.0739508 0.403536 0.016608 -0.0334391
-0.0785727 0.428757 0.0187165 -0.0377171
-0.0831946 0.453978 0.0209446 -0.0422464
-0.0878166 0.479199 0.0232909 -0.0470253
-0.0924385 0.50442 0.0257541 -0.0520526
-0.0970604 0.529641 0.0283323 -0.0573264
-0.101682 0.554863 0.0310241 -0.0628452
-0.106304 0.580084 0.0338275 -0.0686073
-0.110926 0.605305 0.0367409 -0.0746107
-0.115548 0.630526 0.0397622 -0.0808536
-0.12017 0.655747 0.0428895 -0.087334
-0.124792 0.680968 0.0461207 -0.0940497
-0.129414 0.706189 0.0494536 -0.100999
-0.134036 0.73141 0.0528859 -0.108179
-0.138658 0.756631 0.0564154 -0.115587
-0.14328 0.781852 0.0600397 -0.123222
-0.147902 0.807073 0.0637562 -0.13108
-0.152523 0.832294 0.0675624 -0.13916
-0.157145 0.857515 0.0714555 -0.147458
-0.161767 0.882736 0.075433 -0.155972
-0.166389 0.907957 0.079492 -0.164699
-0.171011 0.933178 0.0836295 -0.173636
-0.175633 0.958399 0.0878425 -0.18278
-0.180255 0.98362 0.0921282 -0.192128
-0 0 0 0
-0.0061363 0.0248959 6.57422e-05 -0.000131488
-0.0122726 0.0497919 0.00026292 -0.000525905
-0.0184089 0.0746878 0.000591389 -0.0011831
-0.0245452 0.0995838 0.0010509 -0.00210284
-0.0306815 0.12448 0.00164113 -0.00328478
-0.0368178 0.149376 0.00236163 -0.00472849
-0.0429541 0.174272 0.00321186 -0.00643343
-0.0490904 0.199168 0.0041912 -0.00839896
-0.0552267 0.224063 0.00529893 -0.0106244
-0.061363 0.248959 0.00653421 -0.0131088
-0.0674993 0.273855 0.00789612 -0.0158514
-0.0736356 0.298751 0.00938365 -0.0188511
-0.0797719 0.323647 0.0109957 -0.0221068
-0.0859082 0.348543 0.012731 -0.0256173
-0.0920445 0.373439 0.0145883 -0.0293812
-0.0981808 0.398335 0.0165662 -0.0333972
-0.104317 0.423231 0.0186631 -0.0376638
-0.110453 0.448127 0.0208775 -0.0421793
-0.11659 0.473023 0.0232077 -0.0469421
-0.122726 0.497919 0.0256518 -0.0519503
-0.128862 0.522815 0.0282081 -0.0572021
