-1 0 1.76738e-06 0.00991996 1.47489e-09 -8.51924e-07 -1.04181e-09 7.52992e-07 0 0 16.188 0 0 -0.000255555
-0.5 0.005 4.38084e-05 0.00689646 -1.18818e-09 -2.13306e-07 9.56166e-10 4.61969e-08 0.000183979 0.0699172 11.7789 -1.72099e-09 -3.93706e-07 9.80725e-05
0 0.01 7.0732e-05 0.00387297 -6.58161e-10 4.25313e-07 -5.79838e-10 -6.60598e-07 0.000662429 0.117789 7.36972 -9.90166e-10 9.80725e-07 0.0004517
0.5 0.015 8.25381e-05 0.000849469 3.06495e-09 1.06393e-06 -5.64982e-09 -1.36739e-06 0.00132512 0.143614 2.96058 1.10332e-08 4.1233e-06 0.000805328
1 0.02 7.92267e-05 -0.00217403 9.98116e-09 1.70255e-06 -1.42538e-08 -2.07419e-06 0.00206183 0.147394 -1.44856 4.31897e-08 9.034e-06 0.00115896
-1 0.02 7.92267e-05 -0.000876027 9.98116e-09 -2.0809e-06 -1.42538e-08 3.33114e-06 0.00206183 0.147394 1.04091 4.31897e-08 9.034e-06 -0.00187623
-0.5 0.025 7.35418e-05 -0.00139791 1.75157e-08 5.09472e-06 -3.17142e-08 -1.03153e-05 0.00281037 0.151733 0.694677 9.36382e-08 1.68917e-05 0.00501929
0 0.03 6.52475e-05 -0.0019198 6.09283e-08 1.22703e-05 -1.17407e-07 -2.39618e-05 0.00357628 0.154341 0.348447 2.69569e-07 5.92269e-05 0.0119148
0.5 0.035 5.43438e-05 -0.00244169 1.40219e-07 1.9446e-05 -2.71332e-07 -3.76082e-05 0.0043509 0.155218 0.00221667 7.43369e-07 0.00013604 0.0188103
1 0.04 4.08306e-05 -0.00296358 2.55388e-07 2.66216e-05 -4.93489e-07 -5.12547e-05 0.00512557 0.154363 -0.344014 1.68743e-06 0.00024733 0.0257058
-1 0.04 4.08306e-05 -0.00271663 2.55388e-07 3.12614e-05 -4.93489e-07 -4.65384e-05 0.00512557 0.154363 -0.244915 1.68743e-06 0.00024733 0.0208015
-0.5 0.045 2.72178e-05 -0.0027285 4.33871e-07 4.01317e-05 -8.39836e-07 -9.20001e-05 0.00589414 0.153024 -0.291028 3.29444e-06 0.000417544 0.0472842
0 0.05 1.35456e-05 -0.00274038 6.56705e-07 4.9002e-05 -1.41349e-06 -0.000137462 0.00665542 0.151453 -0.337141 6.08356e-06 0.000720172 0.0737668
0.5 0.055 -1.85958e-07 -0.00275225 9.2389e-07 5.78722e-05 -2.21445e-06 -0.000182924 0.00740828 0.149652 -0.383255 1.07168e-05 0.00115521 0.100249
1 0.06 -1.39769e-05 -0.00276413 1.23543e-06 6.67425e-05 -3.24273e-06 -0.000228385 0.00815156 0.147621 -0.429368 1.78564e-05 0.00172267 0.126732
-1 0.06 -1.39769e-05 -0.00271563 1.23543e-06 8.60372e-05 -3.24273e-06 -0.000218367 0.00815156 0.147621 -0.411302 1.78564e-05 0.00172267 0.123311
-0.5 0.065 -2.74021e-05 -0.00265443 1.58919e-06 5.54682e-05 -4.5296e-06 -0.000296383 0.00888455 0.145581 -0.404333 2.82591e-05 0.002488 0.182824
0 0.07 -4.05213e-05 -0.00259324 1.79011e-06 2.48993e-05 -6.20655e-06 -0.000374399 0.00960743 0.143577 -0.397364 4.32323e-05 0.00355091 0.242337
0.5 0.075 -5.33345e-05 -0.00253205 1.83818e-06 -5.66964e-06 -8.27359e-06 -0.000452414 0.0103204 0.141608 -0.390395 6.42641e-05 0.00491137 0.30185
1 0.08 -6.58417e-05 -0.00247086 1.73341e-06 -3.62386e-05 -1.07307e-05 -0.00053043 0.0110236 0.139673 -0.383426 9.2842e-05 0.00656941 0.361363
-1 0.08 -6.58417e-05 -0.00246234 1.73341e-06 -3.30376e-06 -1.07307e-05 -0.000508834 0.0110236 0.139673 -0.378703 9.2842e-05 0.00656941 0.361598
-0.5 0.085 -7.80168e-05 -0.0024077 1.35255e-06 -0.000149043 -1.34997e-05 -0.000598771 0.0117173 0.137818 -0.363412 0.000130636 0.00863341 0.464003
0 0.09 -8.99187e-05 -0.00235305 2.42981e-07 -0.000294783 -1.67184e-05 -0.000688708 0.0124019 0.136039 -0.348121 0.000180029 0.0112094 0.566408
0.5 0.095 -0.000101547 -0.00229841 -1.59528e-06 -0.000440522 -2.03868e-05 -0.000778646 0.0130778 0.134337 -0.33283 0.000243583 0.0142975 0.668814
1 0.1 -0.000112903 -0.00224377 -4.16224e-06 -0.000586262 -2.45049e-05 -0.000868583 0.0137454 0.132711 -0.317539 0.000323858 0.0178976 0.771219
-1 0.1 -0.000112903 -0.00224351 -4.16224e-06 -0.000544319 -2.45049e-05 -0.000833501 0.0137454 0.132711 -0.31602 0.000323858 0.0178976 0.775992
-0.5 0.105 -0.000124026 -0.00220574 -7.78291e-06 -0.000903948 -2.88405e-05 -0.000900746 0.014405 0.131166 -0.301755 0.000423671 0.0221526 0.926001
0 0.11 -0.00013496 -0.00216796 -1.32017e-05 -0.00126358 -3.35123e-05 -0.000967991 0.0150572 0.129693 -0.287491 0.000546633 0.0271576 1.07601
0.5 0.115 -0.000145706 -0.00213019 -2.04187e-05 -0.00162321 -3.85204e-05 -0.00103524 0.0157021 0.128292 -0.273226 0.000696497 0.0329127 1.22602
1 0.12 -0.000156262 -0.00209241 -2.94338e-05 -0.00198284 -4.38647e-05 -0.00110248 0.0163402 0.126961 -0.258962 0.00087701 0.0394178 1.37603
-1 0.12 -0.000156262 -0.00209359 -2.94338e-05 -0.00193714 -4.38647e-05 -0.00105483 0.0163402 0.126961 -0.258397 0.00087701 0.0394178 1.38541
-0.5 0.125 -0.000166671 -0.00207011 -4.08234e-05 -0.00261872 -4.91496e-05 -0.00105914 0.0169718 0.125698 -0.246754 0.00109224 0.0468378 1.58259
0 0.13 -0.000176963 -0.00204663 -5.5621e-05 -0.0033003 -5.44561e-05 -0.00106344 0.0175973 0.124494 -0.23511 0.00134703 0.0552436 1.77976
0.5 0.135 -0.000187138 -0.00202316 -7.38265e-05 -0.00398188 -5.9784e-05 -0.00106775 0.0182168 0.123347 -0.223467 0.00164632 0.0646354 1.97693
1 0.14 -0.000197195 -0.00199968 -9.54398e-05 -0.00466346 -6.51336e-05 -0.00107206 0.0188308 0.122259 -0.211823 0.00199503 0.0750129 2.1741
-1 0.14 -0.000197195 -0.00200083 -9.54398e-05 -0.00461877 -6.51336e-05 -0.00101415 0.0188308 0.122259 -0.211589 0.00199503 0.0750129 2.18766
-0.5 0.145 -0.000207166 -0.00198772 -0.000121305 -0.00572721 -6.99602e-05 -0.000916493 0.0194395 0.121224 -0.202392 0.00239844 0.0865497 2.42704
0 0.15 -0.000217072 -0.0019746 -0.000152712 -0.00683564 -7.42985e-05 -0.000818834 0.0200432 0.120235 -0.193195 0.00286252 0.0992833 2.66641
0.5 0.155 -0.000226912 -0.00196149 -0.000189661 -0.00794407 -7.81485e-05 -0.000721175 0.0206419 0.119292 -0.183999 0.00339326 0.113214 2.90579
1 0.16 -0.000236687 -0.00194837 -0.000232153 -0.00905251 -8.15102e-05 -0.000623516 0.0212361 0.118395 -0.174802 0.00399665 0.128341 3.14517
-1 0.16 -0.000236687 -0.00194926 -0.000232153 -0.00901274 -8.15102e-05 -0.000558292 0.0212361 0.118395 -0.174696 0.00399665 0.128341 3.16216
-0.5 0.165 -0.000246418 -0.00194335 -0.000281283 -0.0106395 -8.37207e-05 -0.000325892 0.021826 0.11754 -0.167454 0.00467902 0.144834 3.43513
0 0.17 -0.00025612 -0.00193745 -0.000338547 -0.0122662 -8.47691e-05 -9.34916e-05 0.0224116 0.11672 -0.160212 0.00544727 0.162692 3.70809
0.5 0.175 -0.000265793 -0.00193155 -0.000403945 -0.0138929 -8.46556e-05 0.000138909 0.0229932 0.115937 -0.15297 0.00630822 0.181915 3.98106
1 0.18 -0.000275436 -0.00192565 -0.000477476 -0.0155196 -8.33801e-05 0.000371309 0.023571 0.115191 -0.145728 0.0072687 0.202503 4.25403
-1 0.18 -0.000275436 -0.00192629 -0.000477476 -0.0154878 -8.33801e-05 0.00044075 0.023571 0.115191 -0.145677 0.0072687 0.202503 4.27352
-0.5 0.185 -0.000285065 -0.00192537 -0.000560453 -0.0177028 -8.02004e-05 0.000831098 0.0241452 0.114477 -0.13993 0.00833586 0.224609 4.56868
0 0.19 -0.00029469 -0.00192446 -0.000654505 -0.0199179 -7.50691e-05 0.00122145 0.0247159 0.113791 -0.134184 0.00951724 0.24819 4.86384
0.5 0.195 -0.00030431 -0.00192354 -0.000759632 -0.0221329 -6.7986e-05 0.00161179 0.0252832 0.113135 -0.128437 0.0108202 0.273247 5.159
1 0.2 -0.000313925 -0.00192262 -0.000875834 -0.0243479 -5.89511e-05 0.00200214 0.0258472 0.112507 -0.122691 0.0122522 0.29978 5.45416
-1 0.2 -0.000313925 -0.00192307 -0.000875834 -0.0243263 -5.89511e-05 0.00207277 0.0258472 0.112507 -0.122664 0.0122522 0.29978 5.47516
-0.5 0.205 -0.000323547 -0.00192562 -0.00100458 -0.0271726 -4.71871e-05 0.00263285 0.0264083 0.111905 -0.118051 0.0138208 0.327916 5.77916
0 0.21 -0.000333181 -0.00192816 -0.00114756 -0.0300189 -3.26226e-05 0.00319294 0.0269663 0.111326 -0.113438 0.0155339 0.357571 6.08316
0.5 0.215 -0.000342828 -0.00193071 -0.00130477 -0.0328653 -1.52577e-05 0.00375302 0.0275216 0.110771 -0.108825 0.017399 0.388747 6.38716
1 0.22 -0.000352488 -0.00193325 -0.00147621 -0.0357116 4.9076e-06 0.00431311 0.0280741 0.110238 -0.104212 0.0194239 0.421443 6.69116
-1 0.22 -0.000352488 -0.00193357 -0.00147621 -0.0357015 4.9076e-06 0.0043821 0.0280741 0.110238 -0.104198 0.0194239 0.421443 6.71262
-0.5 0.225 -0.000362169 -0.00193854 -0.00166344 -0.0391914 2.86419e-05 0.00511164 0.028624 0.109727 -0.100448 0.0216162 0.455752 7.01091
0 0.23 -0.000371874 -0.00194351 -0.00186813 -0.0426813 5.6024e-05 0.00584117 0.0291714 0.109234 -0.0966982 0.0239839 0.491552 7.30919
0.5 0.235 -0.000381604 -0.00194848 -0.00209026 -0.0461712 8.70536e-05 0.0065707 0.0297164 0.10876 -0.0929482 0.0265342 0.528844 7.60748
1 0.24 -0.000391359 -0.00195345 -0.00232984 -0.0496611 0.000121731 0.00730024 0.030259 0.108304 -0.0891982 0.0292748 0.567627 7.90577
-1 0.24 -0.000391359 -0.00195368 -0.00232984 -0.0496634 0.000121731 0.00736507 0.030259 0.108304 -0.0891909 0.0292748 0.567627 7.92666
-0.5 0.245 -0.000401144 -0.00196037 -0.00258844 -0.0537765 0.000160774 0.00825197 0.0307994 0.107866 -0.0861043 0.0322132 0.607954 8.20414
0 0.25 -0.000410962 -0.00196705 -0.0028676 -0.0578896 0.000204251 0.00913887 0.0313377 0.107443 -0.0830176 0.0353566 0.649668 8.48162
0.5 0.255 -0.000420814 -0.00197374 -0.00316733 -0.0620027 0.000252162 0.0100258 0.0318739 0.107036 -0.079931 0.0387122 0.69277 8.7591
1 0.26 -0.0004307 -0.00198043 -0.00348763 -0.0661158 0.000304508 0.0109127 0.0324081 0.106644 -0.0768444 0.0422867 0.737259 9.03658
-1 0.26 -0.0004307 -0.00198059 -0.00348763 -0.0661306 0.000304508 0.0109711 0.0324081 0.106644 -0.0768408 0.0422867 0.737259 9.05591
-0.5 0.265 -0.000440622 -0.0019885 -0.00382999 -0.0708136 0.000361917 0.0119925 0.0329404 0.106266 -0.0742703 0.0460872 0.783143 9.29753
