0.809017 -0.587785 5.65487
0.891007 -0.45399 5.81195
0.838671 -0.544639 5.70723
0.866025 -0.5 5.75959
0.707107 -0.707107 5.49779
0.809017 -0.587785 5.65487
0.743145 -0.669131 5.55015
0.777146 -0.62932 5.60251
0.587785 -0.809017 5.34071
0.45399 -0.891007 5.18363
0.5 -0.866025 5.23599
0.544639 -0.838671 5.28835
0.587785 -0.809017 5.34071
0.707107 -0.707107 5.49779
0.62932 -0.777146 5.39307
0.669131 -0.743145 5.44543
0.45399 -0.891007 5.18363
0.309017 -0.951057 5.02655
0.358368 -0.93358 5.07891
0.406737 -0.913545 5.13127
0.891007 -0.45399 5.81195
0.951057 -0.309017 5.96903
0.913545 -0.406737 5.86431
0.93358 -0.358368 5.91667
0.156434 -0.987688 4.86947
0.309017 -0.951057 5.02655
0.207912 -0.978148 4.92183
0.258819 -0.965926 4.97419
0.987688 -0.156434 6.12611
1 -2.44929e-16 6.28319
0.994522 -0.104528 6.17847
0.99863 -0.052336 6.23083
0.951057 -0.309017 5.96903
0.987688 -0.156434 6.12611
0.965926 -0.258819 6.02139
0.978148 -0.207912 6.07375
-1.83697e-16 -1 4.71239
0.156434 -0.987688 4.86947
0.052336 -0.99863 4.76475
0.104528 -0.994522 4.81711
