1 -1.13311e-15 0
0.993712 0.111964 0.1122
0.999301 0.0373912 0.0373999
0.997204 0.0747301 0.0747998
0.993712 0.111964 0.1122
0.974928 0.222521 0.224399
0.988831 0.149042 0.1496
0.982566 0.185912 0.187
0.532032 0.846724 1.0098
0.433884 0.900969 1.122
0.5 0.866025 1.0472
0.467269 0.884115 1.0846
0.846724 0.532032 0.560999
0.900969 0.433884 0.448799
0.884115 0.467269 0.486199
0.866025 0.5 0.523599
6.12323e-17 1 1.5708
0.111964 0.993712 1.4586
0.0747301 0.997204 1.496
0.0373912 0.999301 1.5334
0.433884 0.900969 1.122
0.330279 0.943883 1.2342
0.399892 0.916562 1.1594
0.365341 0.930874 1.1968
0.532032 0.846724 1.0098
0.62349 0.781831 0.897598
0.59382 0.804598 0.934998
0.56332 0.826239 0.972398
0.707107 0.707107 0.785398
0.62349 0.781831 0.897598
0.680173 0.733052 0.822798
0.652287 0.757972 0.860198
0.781831 0.62349 0.673198
0.707107 0.707107 0.785398
0.757972 0.652287 0.710598
0.733052 0.680173 0.747998
0.943883 0.330279 0.336599
0.974928 0.222521 0.224399
0.965926 0.258819 0.261799
0.955573 0.294755 0.299199
0.222521 0.974928 1.3464
0.330279 0.943883 1.2342
0.294755 0.955573 1.2716
0.258819 0.965926 1.309
0.781831 0.62349 0.673198
0.846724 0.532032 0.560999
0.826239 0.56332 0.598399
0.804598 0.59382 0.635799
0.111964 0.993712 1.4586
0.222521 0.974928 1.3464
0.185912 0.982566 1.3838
0.149042 0.988831 1.4212
0.943883 0.330279 0.336599
0.900969 0.433884 0.448799
0.930874 0.365341 0.373999
0.916562 0.399892 0.411399
