-0.92388 -0.382683 0 2 
-0.707107 -0.707107 0 2 
-0.707107 -0.707107 1 2 
-0.382683 -0.92388 1 2 
-0.92388 -0.382683 2 2 
-0.5 0 2 4 
-1.83697e-16 -1 3 2 
-0.382683 -0.92388 3 2 
-0.92388 0.382683 4 1 
-1 1.22465e-16 4 1 
-0.5 0 4 4 
-0.707107 0.707107 5 1 
-0.92388 0.382683 5 1 
-0.92388 0.382683 6 1 
-0.5 0 6 4 
-0.382683 0.92388 7 1 
-0.707107 0.707107 7 1 
-0.5 0 8 4 
3.33067e-16 0 8 4 
-1 1.22465e-16 9 2 
-0.92388 -0.382683 9 2 
-0.5 0 9 4 
3.33067e-16 0 10 4 
-0.5 0 10 4 
0.382683 -0.92388 11 3 
-1.83697e-16 -1 11 3 
0.382683 -0.92388 12 3 
0.707107 -0.707107 12 3 
-1.83697e-16 -1 13 3 
0.92388 -0.382683 14 3 
0.5 0 14 4 
0.92388 -0.382683 15 3 
0.707107 -0.707107 15 3 
0.92388 -0.382683 16 3 
1 -2.44929e-16 16 3 
0.5 0 16 4 
0.5 0 17 4 
3.33067e-16 0 17 4 
6.12323e-17 1 18 1 
0.92388 0.382683 19 0 
0.707107 0.707107 19 0 
0.92388 0.382683 20 0 
1 -2.44929e-16 20 0 
0.5 0 20 4 
0.382683 0.92388 21 0 
6.12323e-17 1 21 0 
0.707107 0.707107 22 0 
0.382683 0.92388 22 0 
0.92388 0.382683 23 0 
0.5 0 23 4 
3.33067e-16 0 24 4 
3.33067e-16 0 25 4 
0.5 0 25 4 
6.12323e-17 1 26 1 
-0.382683 0.92388 26 1 
3.33067e-16 0 27 4 
